id	type	heading	synonyms
CHEMBL2367354	Tissue	Upper stem	
CHEMBL2367355	Tissue	Shoot	
CHEMBL2367356	Tissue	Fruit	
CHEMBL2367357	Tissue	Leaf	
CHEMBL2367358	Tissue	Root	
CHEMBL2367359	Tissue	Phloem	
CHEMBL2367360	Tissue	Leaf	
CHEMBL2367361	Tissue	Leaf	
CHEMBL2367362	Tissue	Abdominal central nerve cord	
CHEMBL2367363	Tissue	Right atrium	
CHEMBL2367364	Tissue	Stem	
CHEMBL2367365	Tissue	Root	
CHEMBL2367366	Tissue	Root	
CHEMBL2367367	Tissue	Leaf	
CHEMBL2367368	Tissue	Stem	
CHEMBL2367369	Tissue	Liver microsome	
CHEMBL2367370	Tissue	Small intestine	
CHEMBL2367371	Tissue	Leaf	
CHEMBL2367372	Tissue	Fruit	
CHEMBL2367373	Tissue	Whole blood	
CHEMBL2367374	Tissue	Leaf	
CHEMBL2367375	Tissue	Shoot	
CHEMBL2367376	Tissue	Root	
CHEMBL2367377	Tissue	Green seed	
CHEMBL2367378	Tissue	Liver cytosol	
CHEMBL2367379	Tissue	Liver microsome	
CHEMBL2367380	Tissue	Stomach	
CHEMBL2367381	Tissue	Nerve cord	
CHEMBL2367382	Tissue	Root	
CHEMBL2367383	Tissue	Rachis	
CHEMBL2367384	Tissue	Tissue	
CHEMBL2367385	Tissue	Leaf	
CHEMBL2367386	Tissue	Root	
CHEMBL2367387	Tissue	Shoot	
CHEMBL2367388	Tissue	inner fruit	
CHEMBL2367389	Tissue	Whole blood	
CHEMBL2367390	Tissue	Chorioallantoic membrane	
CHEMBL2367391	Tissue	Leaf	
CHEMBL2367392	Tissue	Cuticular wax	
CHEMBL2367393	Tissue	Epidermis	
CHEMBL2367394	Tissue	Root	
CHEMBL2367395	Tissue	Root	
CHEMBL2367396	Tissue	Shoot	
CHEMBL2367397	Tissue	Jejunum	
CHEMBL2367398	Tissue	Root	
CHEMBL2367399	Tissue	Root	
CHEMBL2367400	Tissue	Fruit	
CHEMBL2367401	Tissue	Stem	
CHEMBL2367402	Tissue	Leaf	
CHEMBL2367403	Tissue	Root	
CHEMBL2367405	Tissue	Large intestine	
CHEMBL2367406	Tissue	Blood brain barrier	
CHEMBL2367407	Tissue	Left atrium	
CHEMBL2367408	Tissue	Hemi-diaphragm	
CHEMBL2367409	Tissue	Root	
CHEMBL2367410	Tissue	Apical leaf	
CHEMBL2367411	Tissue	Leaf	
CHEMBL2367412	Tissue	Root	
CHEMBL2367413	Tissue	Green seed	
CHEMBL2367414	Tissue	Leaf	
CHEMBL2367415	Tissue	Cotyledon	
CHEMBL2367416	Tissue	Leaf	
CHEMBL2367418	Tissue	Heart	
CHEMBL2367419	Tissue	Thoracic artery	
CHEMBL2367420	Tissue	Lower stem	
CHEMBL2367421	Tissue	Tumor	
CHEMBL2367422	Tissue	Root	
CHEMBL2367423	Tissue	Shoot	
CHEMBL2367424	Tissue	Shoot	
CHEMBL2367425	Tissue	Berry	
CHEMBL2367426	Tissue	Leaf	
CHEMBL2367427	Tissue	Liver cytosol	
CHEMBL2367428	Tissue	Liver microsome	
CHEMBL2367430	Tissue	Haemolymph	
CHEMBL2367431	Tissue	Fat body	
CHEMBL2367432	Tissue	Midgut	
CHEMBL2367433	Tissue	Malpighian tubules	
CHEMBL2367434	Tissue	Gomar	
CHEMBL2367435	Tissue	Pinnae	
CHEMBL2367436	Tissue	Root	
CHEMBL2367437	Tissue	Fruit surface	
CHEMBL2367438	Tissue	Epidermal microsome	
CHEMBL2367439	Tissue	Dermis	
CHEMBL2367440	Tissue	Shoot	
CHEMBL2367441	Tissue	Root	
CHEMBL2367442	Tissue	Bronchial smooth muscle	
CHEMBL2367443	Tissue	Gastric fundus smooth muscle	
CHEMBL2367444	Tissue	Liver cytosol	
CHEMBL2367445	Tissue	Flower	
CHEMBL2367446	Tissue	Leaf	
CHEMBL2367447	Tissue	Root	
CHEMBL2367448	Tissue	Leaf base	
CHEMBL2367449	Tissue	Thoracic aorta	
CHEMBL4296392	Tissue	Aorta	
CHEMBL4296527	Tissue	Brain	
CHEMBL4296528	Tissue	Artery	
CHEMBL4296529	Tissue	Blood	
CHEMBL4296530	Tissue	Bone	
CHEMBL4296531	Tissue	Cornea	
CHEMBL4296532	Tissue	Jejunum	
CHEMBL4296533	Tissue	Mesenteric artery	
CHEMBL4296534	Tissue	Pulmonary artery	
CHEMBL4296535	Tissue	Smooth muscle of trachea	
CHEMBL4296536	Tissue	Snake venom	
CHEMBL4296537	Tissue	Spiral organ of cochlea	
CHEMBL4296538	Tissue	Thoracic aorta	
CHEMBL4296539	Tissue	Thoracic aorta	
CHEMBL4296540	Tissue	Tibial nerve	
CHEMBL4296541	Tissue	Trachea	
CHEMBL4296542	Tissue	Trachea	
CHEMBL4296543	Tissue	Trachea/thoracic aorta	
CHEMBL4296544	Tissue	Uterus	
CHEMBL4296545	Tissue	Zone of skin	
CHEMBL4483122	Tissue	Retina	
CHEMBL4483123	Tissue	Cardiac muscle of left ventricle	
CHEMBL4651286	Tissue	Aorta	
CHEMBL4651287	Tissue	Corpus cavernosum	
CHEMBL4651288	Tissue	Stomach	
CHEMBL4651289	Tissue	Esophagus	
CHEMBL4651290	Tissue	Left cardiac atrium	
CHEMBL4651291	Tissue	Right cardiac atrium	
CHEMBL4651292	Tissue	Sciatic nerve	
CHEMBL4651293	Tissue	Soleus muscle	
CHEMBL4651294	Tissue	Vas deferens	
CHEMBL4651295	Tissue	Esophagus	
CHEMBL4651296	Tissue	Intestinal mucosa	
CHEMBL4651297	Tissue	Zone of skin	
CHEMBL4689840	Tissue	Aortic artery	
CHEMBL4689841	Tissue	Phrenic nerve-diaphragm muscle	
CHEMBL4715675	Tissue	Dentine	
CHEMBL4715676	Tissue	Ear	
CHEMBL4800704	Tissue	Cerebellar cortex	
CHEMBL4800705	Tissue	Corpus cavernosum	
CHEMBL4845609	Tissue	Tumour	
CHEMBL4845610	Tissue	Psoas muscle	
CHEMBL4845611	Tissue	Extensor digitorum longus	
CHEMBL4845612	Tissue	Coronary artery	
CHEMBL4845613	Tissue	Blood	
CHEMBL4845614	Tissue	Plasma	
CHEMBL4845615	Tissue	Saphenous artery	
CHEMBL613393	Tissue	Hemolymph	
CHEMBL613394	Tissue	Brain	
CHEMBL613396	Tissue	Hypothalamus	
CHEMBL613397	Tissue	Blood	
CHEMBL613398	Tissue	Brain	
CHEMBL613399	Tissue	Caudate	
CHEMBL613400	Tissue	Frontal cortex	
CHEMBL613401	Tissue	Medulla	
CHEMBL613402	Tissue	Midbrain	
CHEMBL613403	Tissue	Plasma	
CHEMBL613405	Tissue	Pons	
CHEMBL613406	Tissue	Putamen	
CHEMBL613407	Tissue	Thalamus	
CHEMBL613408	Tissue	Blood	
CHEMBL613409	Tissue	Brain	
CHEMBL613410	Tissue	Hippocampus	
CHEMBL613411	Tissue	Plasma	
CHEMBL613412	Tissue	Serum	
CHEMBL613413	Tissue	Striatum	
CHEMBL613414	Tissue	Brain	
CHEMBL613415	Tissue	Plasma	
CHEMBL613416	Tissue	Blood	
CHEMBL613417	Tissue	Brain	
CHEMBL613418	Tissue	Cortex	
CHEMBL613419	Tissue	Liver	
CHEMBL613424	Tissue	Plasma	
CHEMBL613426	Tissue	Serum	
CHEMBL613427	Tissue	Skin	
CHEMBL613430	Tissue	Liver	
CHEMBL613431	Tissue	Plasma	
CHEMBL613432	Tissue	Serum	
CHEMBL613433	Tissue	Artery	
CHEMBL613435	Tissue	Skin	
CHEMBL613438	Tissue	Cartilage	
CHEMBL613440	Tissue	Serum	
CHEMBL613441	Tissue	Plasma	
CHEMBL613444	Tissue	Blood	
CHEMBL613445	Tissue	Brain	
CHEMBL613447	Tissue	Duodenum	
CHEMBL613448	Tissue	Gastric gland	
CHEMBL613449	Tissue	Lung	
CHEMBL613450	Tissue	Plasma	
CHEMBL613451	Tissue	Thyroid	
CHEMBL613452	Tissue	Trachea	
CHEMBL613559	Tissue	Adipose	
CHEMBL613560	Tissue	Bladder	
CHEMBL613561	Tissue	Blood	
CHEMBL613562	Tissue	Bone	
CHEMBL613563	Tissue	Bone marrow	
CHEMBL613564	Tissue	Brain	
CHEMBL613566	Tissue	Cerebellum	
CHEMBL613567	Tissue	Cerebral cortex	
CHEMBL613568	Tissue	Colon	
CHEMBL613569	Tissue	Cortex	
CHEMBL613570	Tissue	Duodenum	
CHEMBL613571	Tissue	Femur	
CHEMBL613573	Tissue	Heart	
CHEMBL613574	Tissue	Hippocampus	
CHEMBL613575	Tissue	Hypothalamus	
CHEMBL613576	Tissue	Ileum	
CHEMBL613577	Tissue	Intestine	
CHEMBL613578	Tissue	Jejunum	
CHEMBL613579	Tissue	Kidney	
CHEMBL613580	Tissue	Liver	
CHEMBL613581	Tissue	Lung	
CHEMBL613582	Tissue	Medulla	
CHEMBL613583	Tissue	Muscle	
CHEMBL613586	Tissue	Olfactory bulb	
CHEMBL613587	Tissue	Pancreas	
CHEMBL613588	Tissue	Pancreatic islets	
CHEMBL613589	Tissue	Plasma	
CHEMBL613590	Tissue	Serum	
CHEMBL613591	Tissue	Skin	
CHEMBL613592	Tissue	Spleen	
CHEMBL613593	Tissue	Stomach	
CHEMBL613594	Tissue	Striatum	
CHEMBL613595	Tissue	Thalamocortex	
CHEMBL613596	Tissue	Thalamus	
CHEMBL613597	Tissue	Thyroid	
CHEMBL613599	Tissue	Vas deferens	
CHEMBL613603	Tissue	Adrenal	
CHEMBL613604	Tissue	Adrenal gland	
CHEMBL613605	Tissue	Adrenal medulla	
CHEMBL613606	Tissue	Aorta	
CHEMBL613608	Tissue	Aortic ring	
CHEMBL613610	Tissue	Atria	
CHEMBL613612	Tissue	Atrium	
CHEMBL613615	Tissue	Blood	
CHEMBL613616	Tissue	Bone	
CHEMBL613617	Tissue	Brain	
CHEMBL613618	Tissue	Caudate-putamen	
CHEMBL613619	Tissue	Cerebellum	
CHEMBL613620	Tissue	Cerebral cortex	
CHEMBL613621	Tissue	Cerebrospinal fluid	
CHEMBL613622	Tissue	Cerebrum	
CHEMBL613623	Tissue	Colon	
CHEMBL613624	Tissue	Cortex	
CHEMBL613626	Tissue	Duodenum	
CHEMBL613627	Tissue	Femur	
CHEMBL613628	Tissue	Harderian gland	
CHEMBL613629	Tissue	Heart	
CHEMBL613630	Tissue	Hepatic portal vein	
CHEMBL613631	Tissue	Hippocampus	
CHEMBL613632	Tissue	Hypothalamus	
CHEMBL613633	Tissue	Ileum	
CHEMBL613634	Tissue	Intestine	
CHEMBL613637	Tissue	Jejunum	
CHEMBL613638	Tissue	Kidney	
CHEMBL613640	Tissue	Laminae	
CHEMBL613642	Tissue	Liver	
CHEMBL613643	Tissue	Lung	
CHEMBL613644	Tissue	Midbrain	
CHEMBL613645	Tissue	Muscle	
CHEMBL613647	Tissue	Myometrium	
CHEMBL613648	Tissue	Occipital cortex	
CHEMBL613649	Tissue	Ovary	
CHEMBL613650	Tissue	Pancreas	
CHEMBL613651	Tissue	Pituitary	
CHEMBL613652	Tissue	Plasma	
CHEMBL613653	Tissue	Pons	
CHEMBL613654	Tissue	Portal vein	
CHEMBL613656	Tissue	Prostate	
CHEMBL613657	Tissue	Septum	
CHEMBL613658	Tissue	Serum	
CHEMBL613659	Tissue	Skin	
CHEMBL613660	Tissue	Solar plexus	
CHEMBL613661	Tissue	Spinal cord	
CHEMBL613662	Tissue	Spleen	
CHEMBL613663	Tissue	Striatum	
CHEMBL613664	Tissue	Testes	
CHEMBL613665	Tissue	Thalamus	
CHEMBL613666	Tissue	Thoracic	
CHEMBL613667	Tissue	Thymus	
CHEMBL613668	Tissue	Thyroid	
CHEMBL613669	Tissue	Tumour	
CHEMBL613672	Tissue	Aorta	
CHEMBL613678	Tissue	Heart	
CHEMBL613679	Tissue	Hypothalamus	
CHEMBL613680	Tissue	Ileum	
CHEMBL613681	Tissue	Liver	
CHEMBL613684	Tissue	Skin	
CHEMBL613689	Tissue	Heart	
CHEMBL613695	Tissue	Sciatic nerve	
CHEMBL613696	Tissue	Occipital cortex	
CHEMBL613699	Tissue	Brain	
CHEMBL613700	Tissue	Plasma	
CHEMBL613701	Tissue	Lens	
